"","baker","series","episode","technical","signature_bake","show_stopper","result","baker_name","baker_age","baker_occupation","hometown"
"731","Andrew",7,8,2,"Da Vinci Inspired Geared Pies","Jousting Knights Marchpane","IN","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
"732","Jane",7,8,5,"Tudor Rose Pies","Swans","IN","Jane Beedle",61,"Garden designer","Beckenham"
"733","Selasi",7,8,3,"Bouquet of Flowers","Fruity Tudor Marchpane","IN","Selasi Gbormittah",30,"Client service associate","London"
"734","Benjamina",7,8,4,"Mexican Adventure","Tudor Garden","OUT","Benjamina Ebuehi",23,"Teaching assistant","South London"
"735","Candice",7,8,1,"Cheesy Cheeky Fish Pies","Peacock","STAR BAKER","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
"736","Kate",7,8,NA,NA,NA,NA,"Kate Barmby",37,"Nurse","Brooke, Norfolk"
"737","Lee",7,8,NA,NA,NA,NA,"Lee Banfield",67,"Pastor","Bolton"
"738","Louise",7,8,NA,NA,NA,NA,"Louise Williams",46,"Hairdresser","Cardiff"
"739","Michael",7,8,NA,NA,NA,NA,"Michael Georgiou",20,"Student","Durham"
"740","Rav",7,8,NA,NA,NA,NA,"Rav Bansal",28,"Student support","Erith"
"741","Tom",7,8,NA,NA,NA,NA,"Tom Gilliford",26,"Project engagement manager","Rochdale"
"742","Val",7,8,NA,NA,NA,NA,"Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
"743","Candice",7,9,3,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers","Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies","IN","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
"744","Jane",7,9,1,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers","Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies","IN","Jane Beedle",61,"Garden designer","Beckenham"
"745","Selasi",7,9,4,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers","Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies","OUT","Selasi Gbormittah",30,"Client service associate","London"
"746","Andrew",7,9,2,"Cheesy Elephant Ears and Herby Treble Clefs","Philharmonic Fondants","STAR BAKER","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
"747","Benjamina",7,9,NA,NA,NA,NA,"Benjamina Ebuehi",23,"Teaching assistant","South London"
"748","Kate",7,9,NA,NA,NA,NA,"Kate Barmby",37,"Nurse","Brooke, Norfolk"
"749","Lee",7,9,NA,NA,NA,NA,"Lee Banfield",67,"Pastor","Bolton"
"750","Louise",7,9,NA,NA,NA,NA,"Louise Williams",46,"Hairdresser","Cardiff"
"751","Michael",7,9,NA,NA,NA,NA,"Michael Georgiou",20,"Student","Durham"
"752","Rav",7,9,NA,NA,NA,NA,"Rav Bansal",28,"Student support","Erith"
"753","Tom",7,9,NA,NA,NA,NA,"Tom Gilliford",26,"Project engagement manager","Rochdale"
"754","Val",7,9,NA,NA,NA,NA,"Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
"755","Andrew",7,10,1,"Crunchy Caramel Cassis Crown","Family and Friends' Favourites Picnic","Runner-up","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
"756","Jane",7,10,3,"Red, White and Blue Meringue Crown","Family Favourites Feast","Runner-up","Jane Beedle",61,"Garden designer","Beckenham"
"757","Candice",7,10,2,"Queen Victoria's Mango and Strawberry Crown","Picnic for Pearly Kings and Queens","WINNER","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
"758","Benjamina",7,10,NA,NA,NA,NA,"Benjamina Ebuehi",23,"Teaching assistant","South London"
"759","Kate",7,10,NA,NA,NA,NA,"Kate Barmby",37,"Nurse","Brooke, Norfolk"
"760","Lee",7,10,NA,NA,NA,NA,"Lee Banfield",67,"Pastor","Bolton"
"761","Louise",7,10,NA,NA,NA,NA,"Louise Williams",46,"Hairdresser","Cardiff"
"762","Michael",7,10,NA,NA,NA,NA,"Michael Georgiou",20,"Student","Durham"
"763","Rav",7,10,NA,NA,NA,NA,"Rav Bansal",28,"Student support","Erith"
"764","Selasi",7,10,NA,NA,NA,NA,"Selasi Gbormittah",30,"Client service associate","London"
"765","Tom",7,10,NA,NA,NA,NA,"Tom Gilliford",26,"Project engagement manager","Rochdale"
"766","Val",7,10,NA,NA,NA,NA,"Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
"767","Chris",8,1,12,"Tropical Fresh Fruit Cake","'Raised Pork Pie and Egg Surprise' Cake","IN","Chris Geiger",50,"Software developer","Bristol"
"768","Flo",8,1,9,"Citrus Layer Cake","'One in a Melon' Cake","IN","Flo Atkins",71,"Retired","Merseyside"
"769","James",8,1,2,"Orange, Rhubarb & Ginger Crumble Cake","'Mock-accino and Croissant' Cake","IN","James Hillery",46,"Banker","Brentwood, Essex"
"770","Julia",8,1,3,"Courgette and Lemon Cake","'Russian Doll' Cake","IN","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
"771","Kate",8,1,1,"Moroccan Strawberry and Rose Cake","'Chocolate Terrarium' Cake","IN","Kate Lyon",29,"Health and safety inspector","Merseyside"
"772","Liam",8,1,8,"Apple and Almond Crumble Maple Loaf","'Stackin' Sunday' Cake","IN","Liam Charles",19,"Student","North London"
"773","Sophie",8,1,5,"Pineapple and Coconut Sandwich Cake","'Champagne Bottle and Bucket' Cake","IN","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
"774","Stacey",8,1,11,"Granny Smith Apple and Walnut Cake","'Black Evening Clutch Bag' Cake","IN","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
"775","Tom",8,1,7,"Gilded Pear and Cardamom Cake","'Stack of Books' Cake","IN","Tom Hetherington",29,"Architect","Edinburgh"
"776","Yan",8,1,4,"Windfall Apple Crumble Cake","'Banana-ramen' Cake","IN","Yan Tsou",46,"Laboratory research scientist","North London"
"777","Peter",8,1,10,"Coconut Cake","'Bread on a Breadboard' Cake","OUT","Peter Abatan",52,"IT programme manager","Southend, Essex"
"778","Steven",8,1,6,"Bonfire Night Cake","'A Baker's Lunch' Cake","STAR BAKER","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
"779","Flo",8,2,10,"Gin Jam Butties","'Pick My Bones' Game","IN","Flo Atkins",71,"Retired","Merseyside"
"780","James",8,2,3,"Rhubarb and Custard Whirls","'Coppit' Game","IN","James Hillery",46,"Banker","Brentwood, Essex"
"781","Julia",8,2,4,"Middle Eastern Delight Sandwich Biscuits","'A British Baking' Game","IN","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
"782","Kate",8,2,8,"Coconut Seashells for a Titanic Afternoon Tea","'Jungle' Game","IN","Kate Lyon",29,"Health and safety inspector","Merseyside"
"783","Liam",8,2,7,"Coffee Malted Pecan Shorties","'Classroom Classics' Game","IN","Liam Charles",19,"Student","North London"
"784","Sophie",8,2,2,"Lemon Limoncino Sandwich Biscuits","'Snakes and Ladders' Game","IN","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
"785","Stacey",8,2,9,"Sparkly Chocolate and Marshmallow Fluff Cookies","'Get to School' Game","IN","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
"786","Tom",8,2,5,"Coffee and Amaretto Kisses","'Drain Pipes and Ladders' Game","IN","Tom Hetherington",29,"Architect","Edinburgh"
"787","Yan",8,2,1,"'Mrs. Marian's PB 'n' B' Biscuits","'Adventures in Bakeland' Game","IN","Yan Tsou",46,"Laboratory research scientist","North London"
"788","Chris",8,2,11,"Chocolate Chia Seed Biscuits with Whisky Caramel Filling","'The Great British Sail Off' Game","OUT","Chris Geiger",50,"Software developer","Bristol"
"789","Steven",8,2,6,"Amarpressi Biscuits","'Check Bake' Game","STAR BAKER","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
"790","Peter",8,2,NA,NA,NA,NA,"Peter Abatan",52,"IT programme manager","Southend, Essex"
"791","James",8,3,9,"Nordic Teacakes","'Owl in the Woods' Bread Sculpture","IN","James Hillery",46,"Banker","Brentwood, Essex"
"792","Kate",8,3,10,"Blueberry Buns","'Kraken' Bread Sculpture","IN","Kate Lyon",29,"Health and safety inspector","Merseyside"
"793","Liam",8,3,5,"Jamaican Spiced Teacakes","'Kneadapolitan' Bread Sculpture","IN","Liam Charles",19,"Student","North London"
"794","Sophie",8,3,6,"Tagine Teacakes","'Picnic Basket' Bread Sculpture","IN","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
"795","Stacey",8,3,1,"Cranberry and Cinnamon Teacakes","'Ascot Hat' Bread Sculpture","IN","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
"796","Steven",8,3,3,"Madras Cocktail Teacakes","'The Bag I Knead' Bread Sculpture","IN","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
"797","Tom",8,3,4,"Orange and Cranberry Teacakes","'Pink & Yellow Rose Centrepiece' Bread Sculpture","IN","Tom Hetherington",29,"Architect","Edinburgh"
"798","Yan",8,3,8,"'Mrs P's' Masala Chai Spiced Teacakes","'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture","IN","Yan Tsou",46,"Laboratory research scientist","North London"
"799","Flo",8,3,7,"Cinnamon and Orange Teacakes","'Davy Jones' Locker' Bread Sculpture","OUT","Flo Atkins",71,"Retired","Merseyside"
"800","Julia",8,3,2,"Earl Grey Dried Fruit Teacakes","'The Snail Under a Mushroom' Bread Sculpture","STAR BAKER","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
"801","Chris",8,3,NA,NA,NA,NA,"Chris Geiger",50,"Software developer","Bristol"
"802","Peter",8,3,NA,NA,NA,NA,"Peter Abatan",52,"IT programme manager","Southend, Essex"
"803","James",8,4,2,"'Windy City' Millionaire Shortbreads","Nutty Caramel Cake","IN","James Hillery",46,"Banker","Brentwood, Essex"
"804","Julia",8,4,9,"Pecan Salted Caramel Millionaire Shortbreads","Poppy Seed Caramel Cake","IN","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
"805","Liam",8,4,3,"Salted Peanut Butter Millionaire Shortbreads","White Layered Ginger Caramel Cake","IN","Liam Charles",19,"Student","North London"
"806","Sophie",8,4,4,"Jaffa Millionaire Shortbreads","Bird's Nest Caramel Cake","IN","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
"807","Stacey",8,4,1,"Rum Salted Caramel Millionaire Shortbreads","Chocolate and Coffee Caramel Cake","IN","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
"808","Steven",8,4,7,"Orange Macadamia Nut Millionaire Shortbreads","Caramel Crown Cake","IN","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
"809","Yan",8,4,8,"'Lil' Red's Ginger and Nuts' Millionaire Shortbreads","Animals of the Rainforest Caramel Cake","IN","Yan Tsou",46,"Laboratory research scientist","North London"
"810","Tom",8,4,5,"Stem Ginger Caramel Shortbreads","Hummingbird Cake","OUT","Tom Hetherington",29,"Architect","Edinburgh"
"811","Kate",8,4,6,"Salted Bay Caramel Millionaire Shortbreads","Sticky Toffee Apple Caramel Cake","STAR BAKER","Kate Lyon",29,"Health and safety inspector","Merseyside"
"812","Chris",8,4,NA,NA,NA,NA,"Chris Geiger",50,"Software developer","Bristol"
"813","Flo",8,4,NA,NA,NA,NA,"Flo Atkins",71,"Retired","Merseyside"
"814","Peter",8,4,NA,NA,NA,NA,"Peter Abatan",52,"IT programme manager","Southend, Essex"
"815","Julia",8,5,3,"Orange & Treacle Steamed School Pudding","'Opulent Ornament' Trifle Terrine","IN","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
"816","Kate",8,5,8,"'Mr Darcy's Steamy Lake Scene' Steamed School Pudding","'My Great Great Nan's' Raspberry Trifle Terrine","IN","Kate Lyon",29,"Health and safety inspector","Merseyside"
"817","Liam",8,5,2,"Cherries & Lemons that are 'Baked Well'","'Cheers Lads' Trifle Terrine","IN","Liam Charles",19,"Student","North London"
"818","Stacey",8,5,4,"Bakewell Tart Steamed School Pudding","Tropical Trifle Terrine","IN","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
"819","Steven",8,5,5,"Lemon & Blackcurrant Drizzle Steamed School Pudding","'From Across the Jelly Pond' Trifle Terrine","IN","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
"820","Yan",8,5,6,"Mango Fruit Hat Steamed School Pudding","'Heart of a Hero' Trifle Terrine","IN","Yan Tsou",46,"Laboratory research scientist","North London"
"821","James",8,5,7,"Orange and Ginger Steamed School Pudding","'The Missed Silver Jubilee' Trifle Terrine","OUT","James Hillery",46,"Banker","Brentwood, Essex"
"822","Sophie",8,5,1,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine","STAR BAKER","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
"823","Chris",8,5,NA,NA,NA,NA,"Chris Geiger",50,"Software developer","Bristol"
"824","Flo",8,5,NA,NA,NA,NA,"Flo Atkins",71,"Retired","Merseyside"
"825","Peter",8,5,NA,NA,NA,NA,"Peter Abatan",52,"IT programme manager","Southend, Essex"
"826","Tom",8,5,NA,NA,NA,NA,"Tom Hetherington",29,"Architect","Edinburgh"
"827","Kate",8,6,5,"'Vegetarian Pie Faces' Decorative Pies","Potato Curry Pie with Mango & Chilli Glaze","IN","Kate Lyon",29,"Health and safety inspector","Merseyside"
"828","Sophie",8,6,2,"'The Four Seasons' Decorative Pies","Game Pie with Glazed Forest Fruits","IN","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
"829","Stacey",8,6,6,"'Love Theme' Decorative Pies","Indian Hand Raised Pie with Mango","IN","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
"830","Steven",8,6,3,"'Fleetwood Mac' Decorative Pies","Christmas Pie","IN","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
"831","Yan",8,6,1,"'πr2' Decorative Pies","Chequerboard Pie","IN","Yan Tsou",46,"Laboratory research scientist","North London"
"832","Julia",8,6,7,"'Pies from the Tree' Decorative Pies","'Special Occasion' Pie","OUT","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
"833","Liam",8,6,4,"'Standard FC' Decorative Pies","'Nan's Sunday Dinner' Pie","STAR BAKER","Liam Charles",19,"Student","North London"
"834","Chris",8,6,NA,NA,NA,NA,"Chris Geiger",50,"Software developer","Bristol"
"835","Flo",8,6,NA,NA,NA,NA,"Flo Atkins",71,"Retired","Merseyside"
"836","James",8,6,NA,NA,NA,NA,"James Hillery",46,"Banker","Brentwood, Essex"
"837","Peter",8,6,NA,NA,NA,NA,"Peter Abatan",52,"IT programme manager","Southend, Essex"
"838","Tom",8,6,NA,NA,NA,NA,"Tom Hetherington",29,"Architect","Edinburgh"
"839","Kate",8,7,6,"'Happy Hour' Cocktail Cannoli","'Flavour Fusion' Sfogliatelle","IN","Kate Lyon",29,"Health and safety inspector","Merseyside"
"840","Liam",8,7,2,"'Just Doing Me' Cannoli","'Morning Delivery' Sfogliatelle","IN","Liam Charles",19,"Student","North London"
"841","Sophie",8,7,3,"'Classics with a Twist' Cannoli","'Classics' Sfogliatelle","IN","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
"842","Stacey",8,7,4,"My All Time Favourite Desserts","Pastry Surprise","IN","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
"843","Yan",8,7,5,"Cannoli Cocktails","Canadian-Style Sfogliatelle","OUT","Yan Tsou",46,"Laboratory research scientist","North London"
"844","Steven",8,7,1,"Italian Style Cannoli","'Sicilian-style' Sfogliatelle","STAR BAKER","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
"845","Chris",8,7,NA,NA,NA,NA,"Chris Geiger",50,"Software developer","Bristol"
"846","Flo",8,7,NA,NA,NA,NA,"Flo Atkins",71,"Retired","Merseyside"
"847","James",8,7,NA,NA,NA,NA,"James Hillery",46,"Banker","Brentwood, Essex"
"848","Julia",8,7,NA,NA,NA,NA,"Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
"849","Peter",8,7,NA,NA,NA,NA,"Peter Abatan",52,"IT programme manager","Southend, Essex"
"850","Tom",8,7,NA,NA,NA,NA,"Tom Hetherington",29,"Architect","Edinburgh"
"851","Kate",8,8,2,"Burrito Bedfordshire Clangers","'Liver Building Turret' Savoy Cake","IN","Kate Lyon",29,"Health and safety inspector","Merseyside"
"852","Sophie",8,8,4,"Char Siu & Banana Praline Bedfordshire Clangers","Citrus with Green Apple Croquembouche Savoy Cake","IN","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
"853","Steven",8,8,1,"'Mediterranean Medley' Bedfordshire Clangers","Chestnut Rum Savoy Cake","IN","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
"854","Liam",8,8,5,"'Take Out' Bedfordshire Clangers","'Fort Wizardore' Savoy Cake","OUT","Liam Charles",19,"Student","North London"
"855","Stacey",8,8,3,"Camembert & Onion and Apple & Blueberry Bedfordshire Clangers","'Bright' Lemon & Orange Savoy Cake","STAR BAKER","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
"856","Chris",8,8,NA,NA,NA,NA,"Chris Geiger",50,"Software developer","Bristol"
"857","Flo",8,8,NA,NA,NA,NA,"Flo Atkins",71,"Retired","Merseyside"
"858","James",8,8,NA,NA,NA,NA,"James Hillery",46,"Banker","Brentwood, Essex"
"859","Julia",8,8,NA,NA,NA,NA,"Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
"860","Peter",8,8,NA,NA,NA,NA,"Peter Abatan",52,"IT programme manager","Southend, Essex"
"861","Tom",8,8,NA,NA,NA,NA,"Tom Hetherington",29,"Architect","Edinburgh"
"862","Yan",8,8,NA,NA,NA,NA,"Yan Tsou",46,"Laboratory research scientist","North London"
"863","Kate",8,9,4,"Bellini and Valencian Orange Choux Buns","'Rainbow' Meringue Centrepiece","IN","Kate Lyon",29,"Health and safety inspector","Merseyside"
"864","Steven",8,9,3,"Key Lime Cheesecake and Bakewell Tart Choux Buns","'Some Air Over the Rainbow' Meringue Centrepiece","IN","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
"865","Stacey",8,9,2,"'Choux-nicorn and Choux-moji' Choux Buns","'Flamingos in Love' Meringue Centrepiece","OUT","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
"866","Sophie",8,9,1,"Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns","'Tutu with Opera Filling' Meringue Centrepiece","STAR BAKER","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
"867","Chris",8,9,NA,NA,NA,NA,"Chris Geiger",50,"Software developer","Bristol"
"868","Flo",8,9,NA,NA,NA,NA,"Flo Atkins",71,"Retired","Merseyside"
"869","James",8,9,NA,NA,NA,NA,"James Hillery",46,"Banker","Brentwood, Essex"
"870","Julia",8,9,NA,NA,NA,NA,"Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
"871","Liam",8,9,NA,NA,NA,NA,"Liam Charles",19,"Student","North London"
"872","Peter",8,9,NA,NA,NA,NA,"Peter Abatan",52,"IT programme manager","Southend, Essex"
"873","Tom",8,9,NA,NA,NA,NA,"Tom Hetherington",29,"Architect","Edinburgh"
"874","Yan",8,9,NA,NA,NA,NA,"Yan Tsou",46,"Laboratory research scientist","North London"
"875","Kate",8,10,3,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet","Runner-up","Kate Lyon",29,"Health and safety inspector","Merseyside"
"876","Steven",8,10,1,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads","'Yin Yang' Entremet","Runner-up","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
"877","Sophie",8,10,2,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche","'Ode to the Honey Bee' Entremet","WINNER","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
"878","Chris",8,10,NA,NA,NA,NA,"Chris Geiger",50,"Software developer","Bristol"
"879","Flo",8,10,NA,NA,NA,NA,"Flo Atkins",71,"Retired","Merseyside"
"880","James",8,10,NA,NA,NA,NA,"James Hillery",46,"Banker","Brentwood, Essex"
"881","Julia",8,10,NA,NA,NA,NA,"Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
"882","Liam",8,10,NA,NA,NA,NA,"Liam Charles",19,"Student","North London"
"883","Peter",8,10,NA,NA,NA,NA,"Peter Abatan",52,"IT programme manager","Southend, Essex"
"884","Stacey",8,10,NA,NA,NA,NA,"Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
"885","Tom",8,10,NA,NA,NA,NA,"Tom Hetherington",29,"Architect","Edinburgh"
"886","Yan",8,10,NA,NA,NA,NA,"Yan Tsou",46,"Laboratory research scientist","North London"
"887","Antony",9,1,12,NA,NA,"IN","Antony Amourdoux",30,"Banker","London"
"888","Briony",9,1,2,NA,NA,"IN","Briony Williams",33,"Full-time parent","Bristol"
"889","Dan",9,1,4,NA,NA,"IN","Dan Beasley-Harling",36,"Full-time parent","London"
"890","Jon",9,1,5,NA,NA,"IN","Jon Jenkins",47,"Blood courier","Newport"
"891","Karen",9,1,6,NA,NA,"IN","Karen Wright",60,"In-store sampling assistant","Wakefield"
"892","Kim-Joy",9,1,10,NA,NA,"IN","Kim-Joy Hewlett",27,"Mental health specialist","Leeds"
"893","Luke",9,1,8,NA,NA,"IN","Luke Thompson",30,"Civil servant/house and techno DJ","Sheffield"
"894","Rahul",9,1,7,NA,NA,"IN","Rahul Mandal",30,"Research scientist","Rotherham"
"895","Ruby",9,1,1,NA,NA,"IN","Ruby Bhogal",29,"Project manager","London"
"896","Terry",9,1,9,NA,NA,"IN","Terry Hartill",56,"Retired air steward","West Midlands"
"897","Imelda",9,1,11,NA,NA,"OUT","Imelda McCarron",33,"Countryside recreation officer","County Tyrone"
"898","Manon",9,1,3,NA,NA,"STAR BAKER","Manon Lagrave",26,"Software project manager","London"
"899","Antony",9,2,9,NA,NA,"IN","Antony Amourdoux",30,"Banker","London"
"900","Briony",9,2,5,NA,NA,"IN","Briony Williams",33,"Full-time parent","Bristol"
"901","Dan",9,2,3,NA,NA,"IN","Dan Beasley-Harling",36,"Full-time parent","London"
"902","Jon",9,2,1,NA,NA,"IN","Jon Jenkins",47,"Blood courier","Newport"
"903","Karen",9,2,11,NA,NA,"IN","Karen Wright",60,"In-store sampling assistant","Wakefield"
"904","Kim-Joy",9,2,4,NA,NA,"IN","Kim-Joy Hewlett",27,"Mental health specialist","Leeds"
"905","Manon",9,2,6,NA,NA,"IN","Manon Lagrave",26,"Software project manager","London"
"906","Ruby",9,2,10,NA,NA,"IN","Ruby Bhogal",29,"Project manager","London"
"907","Terry",9,2,8,NA,NA,"IN","Terry Hartill",56,"Retired air steward","West Midlands"
"908","Luke",9,2,7,NA,NA,"OUT","Luke Thompson",30,"Civil servant/house and techno DJ","Sheffield"
"909","Rahul",9,2,2,NA,NA,"STAR BAKER","Rahul Mandal",30,"Research scientist","Rotherham"
"910","Imelda",9,2,NA,NA,NA,NA,"Imelda McCarron",33,"Countryside recreation officer","County Tyrone"
"911","Briony",9,3,9,NA,NA,"IN","Briony Williams",33,"Full-time parent","Bristol"
"912","Dan",9,3,6,NA,NA,"IN","Dan Beasley-Harling",36,"Full-time parent","London"
"913","Jon",9,3,2,NA,NA,"IN","Jon Jenkins",47,"Blood courier","Newport"
"914","Karen",9,3,5,NA,NA,"IN","Karen Wright",60,"In-store sampling assistant","Wakefield"
"915","Kim-Joy",9,3,10,NA,NA,"IN","Kim-Joy Hewlett",27,"Mental health specialist","Leeds"
"916","Manon",9,3,3,NA,NA,"IN","Manon Lagrave",26,"Software project manager","London"
"917","Ruby",9,3,7,NA,NA,"IN","Ruby Bhogal",29,"Project manager","London"
"918","Terry",9,3,1,NA,NA,"IN","Terry Hartill",56,"Retired air steward","West Midlands"
"919","Antony",9,3,8,NA,NA,"OUT","Antony Amourdoux",30,"Banker","London"
"920","Rahul",9,3,4,NA,NA,"STAR BAKER","Rahul Mandal",30,"Research scientist","Rotherham"
"921","Imelda",9,3,NA,NA,NA,NA,"Imelda McCarron",33,"Countryside recreation officer","County Tyrone"
"922","Luke",9,3,NA,NA,NA,NA,"Luke Thompson",30,"Civil servant/house and techno DJ","Sheffield"
"923","Terry",9,4,NA,NA,NA,"[a]","Terry Hartill",56,"Retired air steward","West Midlands"
"924","Briony",9,4,5,NA,NA,"IN","Briony Williams",33,"Full-time parent","Bristol"
"925","Jon",9,4,3,NA,NA,"IN","Jon Jenkins",47,"Blood courier","Newport"
"926","Karen",9,4,7,NA,NA,"IN","Karen Wright",60,"In-store sampling assistant","Wakefield"
"927","Kim-Joy",9,4,6,NA,NA,"IN","Kim-Joy Hewlett",27,"Mental health specialist","Leeds"
"928","Manon",9,4,8,NA,NA,"IN","Manon Lagrave",26,"Software project manager","London"
"929","Rahul",9,4,4,NA,NA,"IN","Rahul Mandal",30,"Research scientist","Rotherham"
"930","Ruby",9,4,2,NA,NA,"IN","Ruby Bhogal",29,"Project manager","London"
"931","Dan",9,4,1,NA,NA,"STAR BAKER","Dan Beasley-Harling",36,"Full-time parent","London"
"932","Antony",9,4,NA,NA,NA,NA,"Antony Amourdoux",30,"Banker","London"
"933","Imelda",9,4,NA,NA,NA,NA,"Imelda McCarron",33,"Countryside recreation officer","County Tyrone"
"934","Luke",9,4,NA,NA,NA,NA,"Luke Thompson",30,"Civil servant/house and techno DJ","Sheffield"
"935","Briony",9,5,6,NA,NA,"IN","Briony Williams",33,"Full-time parent","Bristol"
"936","Dan",9,5,2,NA,NA,"IN","Dan Beasley-Harling",36,"Full-time parent","London"
"937","Jon",9,5,7,NA,NA,"IN","Jon Jenkins",47,"Blood courier","Newport"
"938","Manon",9,5,5,NA,NA,"IN","Manon Lagrave",26,"Software project manager","London"
"939","Rahul",9,5,3,NA,NA,"IN","Rahul Mandal",30,"Research scientist","Rotherham"
"940","Ruby",9,5,1,NA,NA,"IN","Ruby Bhogal",29,"Project manager","London"
"941","Karen",9,5,9,NA,NA,"OUT","Karen Wright",60,"In-store sampling assistant","Wakefield"
"942","Terry",9,5,8,NA,NA,"OUT","Terry Hartill",56,"Retired air steward","West Midlands"
"943","Kim-Joy",9,5,4,NA,NA,"STAR BAKER","Kim-Joy Hewlett",27,"Mental health specialist","Leeds"
"944","Antony",9,5,NA,NA,NA,NA,"Antony Amourdoux",30,"Banker","London"
"945","Imelda",9,5,NA,NA,NA,NA,"Imelda McCarron",33,"Countryside recreation officer","County Tyrone"
"946","Luke",9,5,NA,NA,NA,NA,"Luke Thompson",30,"Civil servant/house and techno DJ","Sheffield"
"947","Jon",9,6,2,NA,NA,"IN","Jon Jenkins",47,"Blood courier","Newport"
"948","Kim-Joy",9,6,5,NA,NA,"IN","Kim-Joy Hewlett",27,"Mental health specialist","Leeds"
"949","Manon",9,6,4,NA,NA,"IN","Manon Lagrave",26,"Software project manager","London"
"950","Rahul",9,6,3,NA,NA,"IN","Rahul Mandal",30,"Research scientist","Rotherham"
"951","Ruby",9,6,7,NA,NA,"IN","Ruby Bhogal",29,"Project manager","London"
"952","Dan",9,6,6,NA,NA,"OUT","Dan Beasley-Harling",36,"Full-time parent","London"
"953","Briony",9,6,1,NA,NA,"STAR BAKER","Briony Williams",33,"Full-time parent","Bristol"
